provider_name,provider_team_id,system_team_id,provider_team_name
SportteryOfficialWeb,克罗地亚,WC_TEAM_CRO,克罗地亚
SportteryOfficialWeb,斯洛文尼,WC_TEAM_SLO,斯洛文尼
SportteryOfficialWeb,摩洛哥,WC_TEAM_MAR,摩洛哥
SportteryOfficialWeb,挪威,WC_TEAM_NOR,挪威
SportteryOfficialWeb,希腊,WC_TEAM_GRE,希腊
SportteryOfficialWeb,意大利,WC_TEAM_ITA,意大利
SportteryOfficialWeb,哥伦比亚,WC_TEAM_COL,哥伦比亚
SportteryOfficialWeb,约旦,WC_TEAM_JOR,约旦
SportteryOfficialWeb,加拿大,WC_TEAM_CAN,加拿大
SportteryOfficialWeb,波黑,WC_TEAM_BIH,波黑
SportteryOfficialWeb,美国,WC_TEAM_USA,美国
SportteryOfficialWeb,巴拉圭,WC_TEAM_PAR,巴拉圭
SportteryOfficialWeb,墨西哥,WC_TEAM_MEX,墨西哥
SportteryOfficialWeb,南非,WC_TEAM_RSA,南非
SportteryOfficialWeb,韩国,WC_TEAM_KOR,韩国
SportteryOfficialWeb,捷克,WC_TEAM_CZE,捷克
SportteryOfficialWeb,428,WC_TEAM_QAT,卡塔尔
SportteryOfficialWeb,403,WC_TEAM_SUI,瑞士
SportteryOfficialWeb,417,WC_TEAM_BRA,巴西
SportteryOfficialWeb,424,WC_TEAM_MAR,摩洛哥
SportteryOfficialWeb,915,WC_TEAM_HAI,海地
SportteryOfficialWeb,398,WC_TEAM_SCO,苏格兰
SportteryOfficialWeb,421,WC_TEAM_AUS,澳大利亚
SportteryOfficialWeb,404,WC_TEAM_TUR,土耳其
SportteryOfficialWeb,377,WC_TEAM_GER,德国
SportteryOfficialWeb,德国,WC_TEAM_GER,德国
SportteryOfficialWeb,2514,WC_TEAM_CUW,库拉索
SportteryOfficialWeb,库拉索,WC_TEAM_CUW,库拉索
SportteryOfficialWeb,389,WC_TEAM_NED,荷兰
SportteryOfficialWeb,荷兰,WC_TEAM_NED,荷兰
SportteryOfficialWeb,438,WC_TEAM_JPN,日本
SportteryOfficialWeb,日本,WC_TEAM_JPN,日本
SportteryOfficialWeb,691,WC_TEAM_CIV,科特迪瓦
SportteryOfficialWeb,科特迪瓦,WC_TEAM_CIV,科特迪瓦
SportteryOfficialWeb,415,WC_TEAM_ECU,厄瓜多尔
SportteryOfficialWeb,厄瓜多尔,WC_TEAM_ECU,厄瓜多尔
SportteryOfficialWeb,402,WC_TEAM_SWE,瑞典
SportteryOfficialWeb,瑞典,WC_TEAM_SWE,瑞典
SportteryOfficialWeb,425,WC_TEAM_TUN,突尼斯
SportteryOfficialWeb,突尼斯,WC_TEAM_TUN,突尼斯
API-Football,1,WC_TEAM_BEL,Belgium
API-Football,2,WC_TEAM_FRA,France
API-Football,3,WC_TEAM_ARG,Argentina
API-Football,4,WC_TEAM_ENG,England
API-Football,5,WC_TEAM_BRA,Brazil
API-Football,6,WC_TEAM_CRO,Croatia
API-Football,7,WC_TEAM_POR,Portugal
API-Football,8,WC_TEAM_ESP,Spain
API-Football,9,WC_TEAM_NED,Netherlands
API-Football,10,WC_TEAM_GER,Germany
API-Football,11,WC_TEAM_URU,Uruguay
API-Football,12,WC_TEAM_JPN,Japan
API-Football,768,WC_TEAM_ITA,Italy
API-Football,1117,WC_TEAM_GRE,Greece
API-Football,14,WC_TEAM_MEX,Mexico
API-Football,1531,WC_TEAM_RSA,South Africa
API-Football,15,WC_TEAM_USA,USA
API-Football,16,WC_TEAM_MAR,Morocco
API-Football,17,WC_TEAM_SEN,Senegal
API-Football,18,WC_TEAM_DEN,Denmark
API-Football,19,WC_TEAM_SUI,Switzerland
API-Football,20,WC_TEAM_COL,Colombia
API-Football,21,WC_TEAM_IRN,Iran
API-Football,22,WC_TEAM_KOR,South Korea
API-Football,23,WC_TEAM_AUS,Australia
API-Football,24,WC_TEAM_NZL,New Zealand
API-Football,25,WC_TEAM_AUT,Austria
API-Football,26,WC_TEAM_NGA,Nigeria
API-Football,27,WC_TEAM_EGY,Egypt
API-Football,28,WC_TEAM_CIV,Ivory Coast
API-Football,29,WC_TEAM_GHA,Ghana
API-Football,30,WC_TEAM_ECU,Ecuador
API-Football,31,WC_TEAM_CHI,Chile
API-Football,32,WC_TEAM_CAN,Canada
API-Football,42,TOP5_ARS,Arsenal
API-Football,49,TOP5_CHE,Chelsea
